country,n
egypt,33286
United States of America,9563
iran,6654
peru,3428
france,2145
mexico,1560
indonesia,1442
india,1416
england,1248
turkey,956
germany,949
china,948
papua new guinea,895
nigeria,654
italy,585
syria,547
Dem. Rep. Congo,528
spain,445
iraq,441
canada,388
mali,384
colombia,369
côte d'ivoire,346
costa rica,251
japan,243
cameroon,237
bolivia,217
morocco,214
united kingdom,214
ecuador,182
netherlands,158
ghana,155
saudi arabia,147
afghanistan,138
austria,138
uzbekistan,133
benin,128
guatemala,124
philippines,123
panama,110
burkina faso,108
sudan,107
algeria,102
czech republic,98
russia,97
palestine,97
malaysia,92
australia,83
gabon,83
south africa,71
solomon islands,70
thailand,69
vanuatu,65
myanmar,62
switzerland,57
liberia,56
greece,54
belgium,53
ethiopia,49
fiji,49
brazil,47
dominican,44
angola,42
tanzania,38
tibet,37
south korea,36
pakistan,34
sierra leone,34
madagascar,32
new zealand,31
hungary,31
togo,30
senegal,29
azerbaijan,28
tunisia,26
asia,26
guyana,25
turkmenistan,24
kenya,24
chile,24
new caledonia,24
ireland,22
armenia,22
croatia,22
uganda,19
yemen,19
norway,19
guinea,18
nauru,18
portugal,17
democratic repulic of the congo,17
argentina,16
nepal,16
arabia,15
Cameroon,15
sweden,14
gaul,14
scotland,13
niger,13
samoa,12
marquesas islands,12
paraguay,11
tonga,11
marshall islands,11
unknown,11
bulgaria,11
tunesia,10
cuba,10
taiwan,10
Bosnia and Herz.,10
congo,10
israel,9
bangladesh,9
finland,8
suriname,8
zambia,8
Guinea-Bissau,8
french polynesia,8
zimbabwe,8
serbia,8
mozambique,8
mongolia,8
west africa,8
rwanda,7
europe,7
venezuela,6
macedonia,6
georgia,5
cook islands,5
republic of kiribati,5
nicaragua,5
cyprus,5
sumatra,5
cambodia,5
honduras,4
republic of palau,4
micronesia,4
Timor-Leste,4
vietnam,4
greenland,4
poland,4
ukraine,4
sarawak,4
holland,3
tahiti,3
chad,3
somalia,3
el salvador,3
albania,3
black sea,3
Guinea,3
mauritania,3
bermuda,2
french guiana,2
puerto rico,2
mangareva,2
wallis and futuna territory,2
malawi,2
laos,2
rhein,2
italian,2
montenegro,2
bhutan,2
denmark,2
lisez,1
kuwait,1
middle east,1
namibia,1
republic of timor-leste,1
sri lanka,1
lebanon,1
jordan,1
tirana,1
russian,1
rome,1
european,1
british isles,1
dem. rep. of congo,1
romania,1
slovakia,1
gambia,1
malta,1
lesotho,1
tajikistan,1
czechoslovakia,1
kosova,1
burma,1
slovenia,1
burmah,1
persia,1
surinam,1
kyrgyzstan,1
uruguay,1